SppName_ICTV_MSL2018b,emergence_year,death_count_start,death_count_end,death_period,emergence_country,emergence_continent,death_burden_since_1950,death_burden_notes,death_burden_references,vaccination_effects,vaccine_notes,vaccination_references,hOrder,reservoir.status,spillover.capacity,CFR_stat_lower,CFR_stat_upper,CFR_avg,CFR_stat_notes,CFR_stat_ref,CFR_deaths,CFR_cases,CFR_country,CFR_timeline,CFR_case_prop,CFR_country_specific,CFR_country_references,notes,human.trans,IsVectorBorne,Tr.primary,vFamily,GenomeType,class,spill_type,phylo_dist,tot_cases,GDP,country_case_prop,contr_GDP,weighted_GDP,VirusFamilyPublicationCount,VirusSppPublicationCount,ExclusiveCytoplasmicReplication,ReservoirNspecies
Rabies lyssavirus,pre-1950,1990,2019,29,unknown,unknown,183285,"Rabies has caused deaths in human populations for centuries, but we were unable to find reliable death counts for 1950-1975 so we began the death count in 1976 (which we can do because years_since_first_death is included in our model). GIDEON estimated 627,000 deaths 1976-1995; GBD 2019 study estimated 183285 deaths 1995-2019",GIDEON; http://ghdx.healthdata.org/gbd-results-tool,Y,NA,GIDEON,CHIROPTERA,1,1,100,100,100,,GIDEON,12,12,Brazil,not_specified,subset,100,"da Rosa et al. 2006. Bat-transmitted Human Rabies Outbreaks, Brazilian Amazon. https://dx.doi.org/10.3201%2F1208.050929",,1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,134,9821,0.08955224,879.492537,5249.33582,1931,1392,1,1308
Rift Valley fever phlebovirus,1931,1950,2019,69,Kenya,Africa,3053,First outbreak was in 1931 in Kenya. See death_count_calculations.csv for death count calculations,Nanyingi et al. 2015; GIDEON,Y,NA,Nanyingi et al. 2015; GIDEON,CETARTIODACTYLA,1,1,1,1,1,,WHO. https://www.who.int/news-room/fact-sheets/detail/rift-valley-fever,79,1962,Sudan,2019,subset,4.02650357,GIDEON,The two largest of the most notable outbreaks (listed on GIDEON) in humans,1,1,vector_from_animal,Bunyaviridae,ssRNA(+/-),Mammalia,direct,192.92,3049,2967,0.64348967,1909.23385,2262.17908,192,44,1,339
Rift Valley fever phlebovirus,1931,1950,2019,69,Kenya,Africa,3053,First outbreak was in 1931 in Kenya. See death_count_calculations.csv for death count calculations,Nanyingi et al. 2015; GIDEON,Y,NA,Nanyingi et al. 2015; GIDEON,CETARTIODACTYLA,1,1,1,1,1,,WHO. https://www.who.int/news-room/fact-sheets/detail/rift-valley-fever,121,1087,Yemen,2000,subset,11.1315547,CDC. https://www.cdc.gov/mmwr/preview/mmwrhtml/mm4947a3.htm; GIDEON,The two largest of the most notable outbreaks (listed on GIDEON) in humans,1,1,vector_from_animal,Bunyaviridae,ssRNA(+/-),Mammalia,direct,192.92,3049,990,0.35651033,352.945228,2262.17908,192,44,1,339
Ross River virus,1928,1950,2020,70,Australia,Australia,0,First outbreak was in 1928 in Australia,Murphy et al. 2020,N,NA,Murphy et al. 2020,DIPROTODONTIA,1,1,0,0,0,,Murphy et al. 2020,0,9544,Australia,2015,subset,0,Murphy et al. 2020,Never fatal. Most common arbovirus in Australia. Largest recorded outbreak,1,1,vector_from_animal,Togaviridae,ssRNA(+),Mammalia,direct,317.2,9544,57613,1,57613,57613,2327,820,1,143
Rotavirus A,NA,NA,NA,NA,NA,unknown,NA,NA,NA,Y,NA,Wu et al. 2017,CETARTIODACTYLA,1,1,0.255,0.4,0.3275,,Guth et al. 2019,0,32,Taiwan,2014,subset,0,Wu et al. 2017,Very difficult to find zoonotic outbreak data,4,0,fecal_oral,Reoviridae,dsRNA,Mammalia,direct,192.92,32,24390,1,24390,24390,2261,941,1,502
Saint Louis encephalitis virus,1933,1950,2020,70,USA,North_America,392,First human case occured in 1933 epidemic in Missouri. See death_count_calculations.csv for death count calculations,GIDEON; Diaz et al. 2018; Ranzenhofer et al. 1956; Chin et al. 1957; Brody and Browning 1960; Day 2001; Kriel et al. 1969,N,NA,GIDEON,AVES,1,1,5,15,10,,Simon et al. 2021,47,578,USA,1975,subset,8.13148789,CDC. Saint Louis Encephalitis. Statistics & Maps. https://www.cdc.gov/sle/technical/epi.html,Majority of cases occur in the USA. Largest US outbreak. Hasn’t been a major outbreak since the 1970s,1,1,vector_from_animal,Flaviviridae,ssRNA(+),Aves,direct,623.81,578,60055,1,60055,60055,8265,227,1,6264
Sealpox virus,unknown,1989,2020,31,USA,North_America,0,Often not reported so emergence year is unclear--started death count with earliest publication date,Roess et al. 2011,N,NA,Roess et al. 2011,CARNIVORA,1,1,0,0,0,,Roess et al. 2011,0,2,USA,2007-2009,subset,0,Roess et al. 2011,,1,0,direct_contact_with_animal,Poxviridae,dsDNA,Mammalia,direct,192.92,2,60055,1,60055,60055,15,7,1,288
Seoul orthohantavirus,unknown,1982,2020,38,Korea,Asia,0,NA,Zhang et al. 2011,N,NA,Zhang et al. 2011,RODENTIA,1,1,0,0,0,,Zhang et al. 2011,0,51,China,2006,subset,0,Zhang et al. 2011,,1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,51,8682,1,8682,8682,99,485,1,2368
Severe acute respiratory syndrome-related coronavirus,2003,2003,2020,17,China,Asia,774,NA,CDC. https://www.cdc.gov/sars/about/fs-sars.html,N,NA,GIDEON,CHIROPTERA,1,0,9.55791553,9.55791553,9.55791553,774 deaths out of 8098 cases,CDC. https://www.cdc.gov/sars/about/fs-sars.html,41,251,Canada,2003,subset,16.3346614,GIDEON,,3,0,respiratory,Coronaviridae,ssRNA(+),Mammalia,bridged,192.92,6243,44974,0.04020503,1808.181,11814.3261,1637,2864,1,1308
Severe acute respiratory syndrome-related coronavirus,2003,2003,2020,17,China,Asia,774,NA,CDC. https://www.cdc.gov/sars/about/fs-sars.html,N,NA,GIDEON,CHIROPTERA,1,0,9.55791553,9.55791553,9.55791553,774 deaths out of 8098 cases,CDC. https://www.cdc.gov/sars/about/fs-sars.html,349,5327,China,2003,subset,6.55152994,GIDEON,,3,0,respiratory,Coronaviridae,ssRNA(+),Mammalia,bridged,192.92,6243,8682,0.85327567,7408.13936,11814.3261,1637,2864,1,1308
Severe acute respiratory syndrome-related coronavirus,2003,2003,2020,17,China,Asia,774,NA,CDC. https://www.cdc.gov/sars/about/fs-sars.html,N,NA,GIDEON,CHIROPTERA,1,0,9.55791553,9.55791553,9.55791553,774 deaths out of 8098 cases,CDC. https://www.cdc.gov/sars/about/fs-sars.html,180,665,Taiwan,2003,subset,27.0676692,GIDEON,,3,0,respiratory,Coronaviridae,ssRNA(+),Mammalia,bridged,192.92,6243,24390,0.1065193,2598.00577,11814.3261,1637,2864,1,1308
Severe acute respiratory syndrome-related coronavirus-2,2019,2020,2021.39,1.39,China,Asia,2581976,"As of March 7th, 2021",https://covid19.who.int/,N,"The vaccine has only recently become available and thus, there are no significant vaccination effects on the death burden during the first year of the pandemic",https://covid19.who.int/region/amro/country/br,CHIROPTERA,1,0,2.19365463,2.19365463,2.19365463,"CFR calculated from global death and case data up through February 11, 2021",https://covid19.who.int/,385413,23097938,USA,2020-2021,subset,1.66860349,https://covid19.who.int/region/amro/country/br,Jan 3 2020 to Jan 16 2021,4,0,respiratory,Coronaviridae,ssRNA(+),Mammalia,bridged,192.92,41965073,60055,0.55040862,33054.7898,35486.0205,308,3987,1,1308
Severe acute respiratory syndrome-related coronavirus-2,2019,2020,2021.39,1.39,China,Asia,2581976,"As of March 7th, 2021",https://covid19.who.int/,N,"The vaccine has only recently become available and thus, there are no significant vaccination effects on the death burden during the first year of the pandemic",https://covid19.who.int/region/amro/country/br,CHIROPTERA,1,0,2.19365463,2.19365463,2.19365463,"CFR calculated from global death and case data up through February 11, 2021",https://covid19.who.int/,152093,10542841,India,2020-2021,subset,1.44261874,https://covid19.who.int/region/amro/country/br,Jan 3 2020 to Jan 16 2021,4,0,respiratory,Coronaviridae,ssRNA(+),Mammalia,bridged,192.92,41965073,1923,0.25122894,483.11326,35486.0205,308,3987,1,1308
Severe acute respiratory syndrome-related coronavirus-2,2019,2020,2021.39,1.39,China,Asia,2581976,"As of March 7th, 2021",https://covid19.who.int/,N,"The vaccine has only recently become available and thus, there are no significant vaccination effects on the death burden during the first year of the pandemic",https://covid19.who.int/region/amro/country/br,CHIROPTERA,1,0,2.19365463,2.19365463,2.19365463,"CFR calculated from global death and case data up through February 11, 2021",https://covid19.who.int/,207095,8324294,Brazil,2020-2021,subset,2.48783861,https://covid19.who.int/region/amro/country/br,Jan 3 2020 to Jan 16 2021,4,0,respiratory,Coronaviridae,ssRNA(+),Mammalia,bridged,192.92,41965073,9821,0.19836243,1948.11746,35486.0205,308,3987,1,1308
Shuni orthobunyavirus,1966,1966,2020,54,South Africa,Africa,0,NA,"Motlou et al. 2021. Shuni Virus in Cases of Neurologic Disease in Humans, South Africa. https://wwwnc.cdc.gov/eid/article/27/2/19-1551_article",N,NA,"Motlou et al. 2021. Shuni Virus in Cases of Neurologic Disease in Humans, South Africa. https://wwwnc.cdc.gov/eid/article/27/2/19-1551_article",CETARTIODACTYLA,1,1,0,0,0,,"Motlou et al. 2021. Shuni Virus in Cases of Neurologic Disease in Humans, South Africa. https://wwwnc.cdc.gov/eid/article/27/2/19-1551_article",0,7,South Africa,2017,subset,0,"Motlou et al. 2021. Shuni Virus in Cases of Neurologic Disease in Humans, South Africa. https://wwwnc.cdc.gov/eid/article/27/2/19-1551_article",,1,1,vector_from_animal,Peribunyaviridae,ssRNA(-),Mammalia,direct,192.92,7,6151,1,6151,6151,2825,26,1,339
Sin Nombre orthohantavirus,1993,1993,2018,25,USA,North_America,140,Death counts for hantavirus pulmonary syndrome (HPS) in the USA--Sin Nombre accounts for 95% of HPS cases in the USA. See death_count_calculations.csv for death count calculations,Hjelle et al. 2000,N,,Hjelle et al. 2000,RODENTIA,1,1,38.0952381,38.0952381,38.0952381,,Hjelle et al. 2000,16,42,USA,1998-1999,subset,38.0952381,Hjelle et al. 2000,1 year outbreak that spanned 1998-1999,1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,42,60055,1,60055,60055,99,690,1,2368
Sosuga pararubulavirus,2012,2012,2020,8,South Sudan/Uganda,Africa,0,"Researcher was infected while traveling in South Sudan and Uganda, but treated upon returning to the USA. Exact location of source is unknown",Welch et al. 2018,N,NA,Welch et al. 2018,CHIROPTERA,1,1,0,0,0,,Welch et al. 2018,0,1,USA,2012,all_recorded,0,Welch et al. 2018,"Researcher was infected while traveling in South Sudan and Uganda, but treated upon returning to the USA",1,0,unknown,Paramyxoviridae,ssRNA(-),Mammalia,direct,192.92,1,60055,1,60055,60055,3526,0,1,1308
Suid alphaherpesvirus 1,1987,1987,2020,33,China,Asia,0,NA,GIDEON,Y,NA,GIDEON,CETARTIODACTYLA,1,1,0,0,0,,GIDEON,0,6,China,1987; 2019; 2020,all_recorded,0,GIDEON,,1,0,direct_contact_with_animal,Herpesviridae,dsDNA,Mammalia,direct,192.92,6,8682,1,8682,8682,2882,729,0,339
Tanapox virus,1957,1957,2020,63,Kenya,Africa,0,"Causes lesions and mild febrile illness, not believed to be fatal",Arita et al. 1985,N,NA,Arita et al. 1985,PRIMATES,1,1,0,0,0,,Arita et al. 1985,0,264,Democratic Republic of Congo,1979-1983,subset,0,Arita et al. 1985,"Vector transmission has been hypothesized, but unconfirmed. Clustering of cases in households during Zaire outbreak suggest human-to-human transmission",2,0,unknown,Poxviridae,dsDNA,Mammalia,direct,0,264,463,1,463,463,1531,41,1,502
Tick-borne encephalitis virus,1937,1950,2016,66,Russia,Europe,3768,"226472 cases from 1976-2016; No precise records pre-1976, estimated 950 cases/year for 1950-1975 based on Gritsun et al. 2003. Estimated death count with 1.5% average CFR",Suss 2008,Y,NA,Suss 2008,RODENTIA,1,1,2,2,2,,Ruzek et al. 2019,3,379,Russia,2011,subset,0.79155673,GIDEON,"Birds hypothesized to play a dispersal role, but rodents are the reservoir. Largest outbreak in Russia with death records",1,1,vector_from_animal,Flaviviridae,ssRNA(+),Mammalia,direct,179.65,379,10956,1,10956,10956,8265,2,1,2368
Tonate virus,1973,1997,2020,23,French Guiana,South_America,1,"Specified 1997 instead of 1973 as the death_count_start because Tonate cases have likely been mistaken as dengue cases, especially in previous decades",Talarmin et al. 2001,N,NA,Talarmin et al. 2001,AVES,1,1,16.6666667,16.6666667,16.6666667,,Talarmin et al. 2001,1,6,French Guiana,1997-1999,subset,16.6666667,Talarmin et al. 2001,"Difficult to distinguish from other viruses in Venezuelan equine encephalitis complex, mostly serological evidence. Epidemic data details not specified in study; single outbreak--date proxied assumed. However, note that there are probably more cases and deaths that are incorrectly attributed to dengue",1,1,vector_from_animal,Togaviridae,ssRNA(+),Aves,direct,623.81,6,18313,1,18313,18313,2327,20,1,6264
Tula orthohantavirus,2012,2012,2020,8,Czech Republic,Europe,0,NA,Zelena et al. 2013,N,NA,Zelena et al. 2013,RODENTIA,1,1,0,0,0,,Zelena et al. 2013,0,1,Czech Republic,2011,subset,0,Zelena et al. 2013,"Hypothesized to be non-pathogenic. Difficult to distinguish from other hantaviruses. Likely more cases, but mostly serological evidence",1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,1,20326,1,20326,20326,99,275,1,2368
Usutu virus,1980,1950,2020,70,Central African Republic,Africa,0,"No deaths have been recorded, but the full clinical spectrum is still unknown",Cle et al. 2019; Gill et al. 2020,N,NA,Cle et al. 2019; Gill et al. 2020,AVES,1,1,0,0,0,"No deaths have been recorded, but the full clinical spectrum is still unknown",Cle et al. 2019; Gill et al. 2020,0,6,Croatia,2013-2018,subset,0,Cle et al. 2019; Gill et al. 2020,NA,1,1,vector,Flaviviridae,ssRNA(+),Mammalia,direct,623.81,NA,13177,1,13177,13177,8265,37,1,6264
Venezuelan equine encephalitis virus,1950,1950,2019,69,Colombia,South_America,1013,First recorded outbreak was in 1950. See death_count_calculations.csv for death count calculations,GIDEON; Aguilar et al. 2011,Y,"Vaccination in horses for decades, which is suspected to have reduced transmission",AAEP. https://aaep.org/guidelines/vaccination-guidelines/core-vaccination-guidelines/easternwestern-equine-encephalomyelitis,RODENTIA,1,1,0.19485264,0.19485264,0.19485264,CFR is estimated to be less than 1%; we calculated from outbreak data,Crosby and Crespo 2021,24,12317,Venezuela,1995,subset,0.19485264,GIDEON; https://www.paho.org/english/sha/epibul_95-98/be954out.htm,,1,1,vector_from_animal,Togaviridae,ssRNA(+),Mammalia,direct,179.65,12317,7977,1,7977,7977,2327,1722,1,2368
West Nile virus,1937,1950,2020,70,Uganda,Africa,3139,See death_count_calculations.csv for death count calculations,GIDEON; Jupp 2006; Bertram et al. 2020,N,"Vaccines are available for horses, but not people",GIDEON,AVES,1,1,4.61381054,4.61381054,4.61381054,Very little info on CFR so we calculated CFR with the case data given the substantial sample size,"CDC. West Nile virus disease cases reported to CDC by state of residence, 1999-2019. https://www.cdc.gov/westnile/statsmaps/cumMapsData.html#three",2390,51801,USA,1999-2019,subset,4.61381054,"CDC. West Nile virus disease cases reported to CDC by state of residence, 1999-2019. https://www.cdc.gov/westnile/statsmaps/cumMapsData.html#three",,1,1,vector_from_animal,Flaviviridae,ssRNA(+),Aves,direct,623.81,51801,60055,1,60055,60055,8265,10788,1,6264
Western chimpanzee simian foamy virus,unknown,1950,2020,70,unknown,unknown,0,NA,Mouinga-Ondeme et al. 2011,N,NA,Mouinga-Ondeme et al. 2011,PRIMATES,1,1,0,0,0,,Mouinga-Ondeme et al. 2011,0,15,Gabon,not_specified,subset,0,Mouinga-Ondeme et al. 2011,"Nonpathogenic in humans so often not detected. Studies are most often serological. For the ""per outbreak"" data, we only counted individuals bitten within a year prior to the study (years since bite ranged from 1-45)",1,0,animal_bite,Retroviridae,ssRNA-RT,Mammalia,direct,0,28,7221,0.53571429,3868.39286,4542.53571,1461,0,0,502
Western chimpanzee simian foamy virus,unknown,1950,2020,70,unknown,unknown,0,NA,Calattini et al. 2007,N,NA,Calattini et al. 2007,PRIMATES,1,1,0,0,0,,Calattini et al. 2007,0,13,Cameroon,not_specified,subset,0,Calattini et al. 2007,Nonpathogenic in humans so often not detected. Studies are most often serological,1,0,animal_bite,Retroviridae,ssRNA-RT,Mammalia,direct,0,28,1452,0.46428571,674.142857,4542.53571,1461,0,0,502
Western equine encephalitis virus,pre-1950,1950,2017,67,USA,North_America,25,"8 deaths in Canada and 17 deaths in the USA. Largest outbreaks were pre-1950 (e.g., 90 deaths in 1941) and thus excluded.",GIDEON; Tulchinsky et al. 1976,Y,"Vaccination in horses for decades, which is suspected to have reduced transmission",AAEP. https://aaep.org/guidelines/vaccination-guidelines/core-vaccination-guidelines/easternwestern-equine-encephalomyelitis,AVES,1,1,4,4,4,,"NEHA. https://www.neha.org/disease/western-equine-encephalitis#:~:text=Irreversible%20neurological%20damage%20can%20occur,will%20experience%20irreversible%20brain%20damage.",9,375,USA,1952,subset,2.4,GIDEON,Case fatality rate known to be lower than that of Eastern Equine Encephalitis. Very few cases since 1994. Largest outbreak since 1950,1,1,vector_from_animal,Togaviridae,ssRNA(+),Aves,direct,623.81,416,60055,0.90144231,54136.1178,60055,2327,343,1,6264
Western equine encephalitis virus,pre-1950,1950,2017,67,USA,North_America,25,"8 deaths in Canada and 17 deaths in the USA. Largest outbreaks were pre-1950 (e.g., 90 deaths in 1941) and thus excluded.",GIDEON; Tulchinsky et al. 1976,Y,"Vaccination in horses for decades, which is suspected to have reduced transmission",AAEP. https://aaep.org/guidelines/vaccination-guidelines/core-vaccination-guidelines/easternwestern-equine-encephalomyelitis,AVES,1,1,4,4,4,,"NEHA. https://www.neha.org/disease/western-equine-encephalitis#:~:text=Irreversible%20neurological%20damage%20can%20occur,will%20experience%20irreversible%20brain%20damage.",1,41,USA,1987,subset,2.43902439,GIDEON,Case fatality rate known to be lower than that of Eastern Equine Encephalitis. Very few cases since 1994. 2nd largest outbreak since 1950,1,1,vector_from_animal,Togaviridae,ssRNA(+),Aves,direct,623.81,416,60055,0.09855769,5918.88221,60055,2327,343,1,6264
Whitewater Arroyo mammarenavirus,1999,1999,2020,21,USA,North_America,3,NA,"CFSPH 2010; CDC. Fatal Illnesses Associated with a New World Arenavirus -- California, 1999-2000. https://www.cdc.gov/mmwr/preview/mmwrhtml/mm4931a1.htm",N,NA,"CFSPH 2010; CDC. Fatal Illnesses Associated with a New World Arenavirus -- California, 1999-2000. https://www.cdc.gov/mmwr/preview/mmwrhtml/mm4931a1.htm",RODENTIA,1,1,100,100,100,,"CFSPH 2010; CDC. Fatal Illnesses Associated with a New World Arenavirus -- California, 1999-2000. https://www.cdc.gov/mmwr/preview/mmwrhtml/mm4931a1.htm",3,3,USA,1999-2000,all_recorded,100,"CFSPH 2010; CDC. Fatal Illnesses Associated with a New World Arenavirus -- California, 1999-2000. https://www.cdc.gov/mmwr/preview/mmwrhtml/mm4931a1.htm",,1,0,inhalation_aerosolized_animal_excreta,Arenaviridae,ssRNA(+/-),Mammalia,direct,179.65,3,60055,1,60055,60055,875,81,1,2368
Yellow fever virus,pre-1950,1950,2019,69,unknown,Africa,96559,3577 deaths 1950-1970 (WHO 2000); GIDEON reported deaths 1971-1989; GBD 2019 study 1990-2019,GIDEON; http://ghdx.healthdata.org/gbd-results-tool,Y,NA,GIDEON,PRIMATES,1,1,15,50,32.5,,WHO. https://www.who.int/csr/resources/publications/yellowfev/CSR_ISR_2000_1/en/,426,3564,Brazil,2016-2017,subset,11.952862,GIDEON,,4,1,vector,Flaviviridae,ssRNA(+),Mammalia,direct,0,119564,9821,0.0298083,292.747349,2203.0548,8265,1868,1,502
Yellow fever virus,pre-1950,1950,2019,69,unknown,Africa,96559,3577 deaths 1950-1970 (WHO 2000); GIDEON reported deaths 1971-1989; GBD 2019 study 1990-2019,GIDEON; http://ghdx.healthdata.org/gbd-results-tool,Y,NA,GIDEON,PRIMATES,1,1,15,50,32.5,,WHO. https://www.who.int/csr/resources/publications/yellowfev/CSR_ISR_2000_1/en/,24000,116000,Nigeria,1986,subset,20.6896552,GIDEON,Listed as the largest notable outbreak,4,1,vector,Flaviviridae,ssRNA(+),Mammalia,direct,0,119564,1969,0.9701917,1910.30745,2203.0548,8265,1868,1,502
Zaire ebolavirus,1976,1976,2019,43,South Sudan; Democratic Republic of Congo,Africa,24394,GIDEON counts 1976-1989; GBD 2019 study for 1990-2019,GIDEON; http://ghdx.healthdata.org/gbd-results-tool,N,NA,GIDEON,CHIROPTERA,1,1,76,76,76,,Guth et al. 2019,798,992,Guinea,2015,subset,80.4435484,GIDEON,,3,0,bodily_fluids,Filoviridae,ssRNA(-),Mammalia,direct,192.92,2243,803,0.44226482,355.138654,631.217566,1729,1408,1,1308
Zika virus,1952,1952,2019,67,Uganda,Africa,612,20 deaths 2013-2015; 35 deaths 2016-2019; no reported/detected deaths in Africa; 557 deaths from congenital complications 2015-2017 in Brazil; deaths from congenital complications are underreported and thus our death count is like an underestimation,Bhargavi and Moa 2020; GIDEON; Costa et al. 2020,N,NA,Bhargavi and Moa 2020; GIDEON; Costa et al. 2020,PRIMATES,1,1,8.3,8.3,8.3,Includes microcephaly deaths,Cunha et al. 2017,0,128793,Brazil,2016,subset,0,PAHO. Cases of Zika Virus Disease by Country or Territory: Cumulative Cases. https://www.paho.org/data/index.php/en/?option=com_content&view=article&id=524:zika-weekly-en&Itemid=352,By far the highest number of confirmed cases (other countries are <1000),4,1,vector,Flaviviridae,ssRNA(+),Mammalia,direct,0,128793,9821,1,9821,9821,8265,5702,1,502
